Sistematic name	RA (mol/cell) [Nagalakshmi et al. 2008; Miura et al. 2008]	RS (min) [Wang et al. 2002]	TR indirect (mol/min) w/o dilution correction	TR (mol/min) w/o dilution correction	TR indirect (mol/min) dilution corrected	TR (mol/min) dilution corrected	RNA pol II density (per kb)	RNA pol II  presence (per gene)
YAR075W	0.0640	26	0.0017		0.0021			
YBL001C	7.2370	33	0.1520		0.1964			
YBL002W	18.6048	10	1.2896	0.5257	1.4037	0.6167	0.4112	0.1624
YBL003C	34.8080	7	3.4467	0.5877	3.6602	0.6894	0.4596	0.1829
YBL004W	1.4410			0.1429		0.1677	0.1118	0.8362
YBL005W	2.4657	43	0.0397	0.1129	0.0549	0.1324	0.0883	0.2587
YBL006C	5.5078	13	0.2937	0.2406	0.3275	0.2822	0.1882	0.1020
YBL006W-A								
YBL007C	4.7072	24	0.1360	0.1477	0.1648	0.1733	0.1155	0.4313
YBL008W	0.0640							
YBL008W-A								
YBL009W	1.0887	19	0.0397	0.0498	0.0464	0.0584	0.0390	0.0791
YBL010C	1.1208	11	0.0706	0.0453	0.0775	0.0532	0.0355	0.0299
YBL011W	1.8573	14	0.0920	0.1027	0.1033	0.1205	0.0803	0.1830
YBL012C	0.1921			0.0956		0.1122	0.0748	0.0300
YBL013W	0.0640							
YBL014C	0.5124			0.1398		0.1640	0.1094	0.2935
YBL015W	0.8326			0.0656		0.0769	0.0513	0.0810
YBL016W	1.3449							
YBL017C	3.0741							
YBL018C		48		0.1639		0.1923	0.1282	0.0610
YBL019W				0.0467		0.0548	0.0366	0.0571
YBL020W	0.7685	11	0.0484	0.0627	0.0531	0.0736	0.0491	0.0846
YBL021C	0.8006			0.2295		0.2692	0.1795	0.0779
YBL022C	2.6899	17	0.1097	0.0448	0.1262	0.0526	0.0351	0.1193
YBL023C	0.5124	12	0.0296		0.0327			
YBL024W	0.4163	8	0.0361	0.2359	0.0386	0.2767	0.1845	0.3789
YBL025W	0.6725			0.1141		0.1339	0.0892	0.0390
YBL026W	7.0769	29	0.1691	0.1040	0.2126	0.1220	0.0814	0.0338
YBL027W	36.2810	33	0.7621	0.5146	0.9846	0.6037	0.4025	0.3836
YBL028C	6.5005	10	0.4506		0.4905			
YBL029C-A	5.3477							
YBL029W	0.5764	17	0.0235		0.0270			
YBL030C	12.8408	21	0.4238	0.0931	0.5026	0.1092	0.0728	0.0696
YBL031W	0.4803	14	0.0238	0.0372	0.0267	0.0437	0.0291	0.0296
YBL032W	6.3404	8	0.5494	0.1683	0.5882	0.1974	0.1316	0.1507
YBL033C	1.4090	30	0.0326	0.2109	0.0412	0.2475	0.1650	0.1711
YBL034C	0.6404	17	0.0261		0.0300			
YBL035C	0.8646	7	0.0856	0.0869	0.0909	0.1020	0.0680	0.1439
YBL036C	1.8573	13	0.0990	0.1302	0.1104	0.1527	0.1018	0.0787
YBL037W	0.6404			0.0404		0.0474	0.0316	0.0972
YBL038W	2.2095	13	0.1178		0.1314			
YBL039C	1.7932	9	0.1381		0.1491			
YBL039C-A								
YBL039W-B	0.8966							
YBL040C	4.8033	26	0.1281	0.0997	0.1575	0.1169	0.0780	0.0589
YBL041W	7.5572	19	0.2757	0.2866	0.3221	0.3362	0.2241	0.1625
