Sistematic name	RA (mol/cell) [Nagalakshmi et al. 2008; Miura et al. 2008]	RS (min) [Wang et al. 2002]	TR indirect (mol/min) w/o dilution correction	TR (mol/min) w/o dilution correction	TR indirect (mol/min) dilution corrected	TR (mol/min) dilution corrected	RNA pol II density (per kb)	RNA pol II  presence (per gene)
YDL247W-A								
YDL248W		21						
YDR001C	2.4977							
YDR002W	27.5710	32	0.5972	0.4245	0.7663	0.4980	0.3320	0.2009
YDR003W		21		0.1005		0.1179	0.0786	0.0497
YDR003W-A	1.4730							
YDR004W	2.0494			0.0820		0.0962	0.0642	0.0887
YDR005C	1.6651			0.1359		0.1594	0.1063	0.1347
YDR006C	3.1382	34	0.0640	0.1413	0.0832	0.1658	0.1105	0.2989
YDR007W		21		0.0617		0.0724	0.0483	0.0325
YDR008C				0.1065		0.1250	0.0833	0.0292
YDR009W				0.0378		0.0443	0.0296	0.0462
YDR010C		96		0.0341		0.0400	0.0267	0.0089
YDR011W	6.9168	32	0.1498		0.1923			
YDR012W	37.0815	8	3.2129		3.4403			
YDR013W	3.0741	22	0.0969		0.1157			
YDR014W	0.2882	23	0.0087		0.0105			
YDR014W-A								
YDR015C		20		0.0183		0.0214	0.0143	0.0034
YDR016C	2.6578	50	0.0368		0.0531			
YDR017C	2.5297	22	0.0797	0.1940	0.0952	0.2275	0.1517	0.4782
YDR018C	0.5124	36	0.0099	0.0676	0.0130	0.0793	0.0529	0.0629
YDR019C	6.6926			0.1210		0.1419	0.0946	0.1137
YDR020C	0.5444			0.0972		0.1141	0.0760	0.0531
YDR021W		33		0.0961		0.1128	0.0752	0.0901
YDR022C		29		0.0547		0.0642	0.0428	0.0252
YDR023W	24.3368	33	0.5112	0.2290	0.6605	0.2686	0.1791	0.2485
YDR024W								
YDR025W	82.8410	27	2.1267	0.2794	2.6349	0.3278	0.2185	0.1768
YDR026C	1.1528			0.1517		0.1780	0.1187	0.2031
YDR027C	0.7045	36	0.0136	0.0583	0.0179	0.0684	0.0456	0.1216
YDR028C	2.2736	28	0.0563		0.0702			
YDR029W	0.1921	51	0.0026		0.0038			
YDR030C	0.7045	52	0.0094		0.0137			
YDR031W	3.2022	19	0.1168		0.1365			
YDR032C	15.2425	119	0.0888	0.0670	0.1823	0.0785	0.0524	0.0312
YDR033W	32.5664	32	0.7054	0.4499	0.9052	0.5278	0.3519	0.3385
YDR034C	1.8253	23	0.0550	0.0954	0.0662	0.1119	0.0746	0.1769
YDR034C-A								
YDR034W-B	4.8033							
YDR035W	4.8353	19	0.1764	0.1943	0.2061	0.2280	0.1520	0.1690
YDR036C	0.8646	26	0.0230		0.0284			
YDR037W	15.7548	22	0.4964	0.4399	0.5930	0.5161	0.3440	0.6107
YDR038C	0.4163	19	0.0152		0.0177			
YDR039C		27		0.0768		0.0901	0.0601	0.1967
YDR040C		17						
YDR041W	2.9140	17	0.1188	0.0973	0.1367	0.1142	0.0761	0.0465
YDR042C	0.0640	70	0.0006		0.0010			
YDR043C	0.9286			0.1256		0.1474	0.0982	0.0683
YDR044W	7.0128	11	0.4419	0.2567	0.4849	0.3011	0.2008	0.1979
YDR045C	5.8600	10	0.4062	0.1792	0.4421	0.2102	0.1401	0.0465
YDR046C	12.6167	4	2.1863	0.2676	2.2637	0.3140	0.2093	0.3797
YDR047W	4.8033	10	0.3329	0.3567	0.3624	0.4184	0.2789	0.3035
YDR048C	0.4483	18	0.0173		0.0200			
YDR049W	0.8966	10	0.0621	0.0871	0.0676	0.1022	0.0682	0.1294
YDR050C	204.2366	32	4.4239	0.7351	5.6767	0.8624	0.5749	0.4289
YDR051C	0.9286	16	0.0402	0.2040	0.0459	0.2394	0.1596	0.1602
YDR052C	0.8006							
YDR053W		21		0.0663		0.0778	0.0518	0.0205
YDR054C	1.8893	15	0.0873	0.1881	0.0989	0.2207	0.1471	0.1305
YDR055W	5.7319	20	0.1987	0.1299	0.2338	0.1524	0.1016	0.1356
YDR056C	3.1702	15	0.1465	0.1188	0.1659	0.1394	0.0929	0.0573
YDR057W	1.0887			0.0631		0.0740	0.0494	0.0804
YDR058C	0.4163	17	0.0170	0.0223	0.0195	0.0262	0.0174	0.0171
YDR059C	2.3056	20	0.0799	0.0455	0.0940	0.0533	0.0356	0.0191
YDR060W	4.7072							
YDR061W	2.1775	11	0.1372	0.1807	0.1506	0.2120	0.1413	0.2288
YDR062W	3.8426	17	0.1567	0.1442	0.1802	0.1692	0.1128	0.1901
YDR063W	2.6899	43	0.0434	0.1182	0.0599	0.1387	0.0925	0.0415
YDR064W	76.4686	31	1.7098	1.8111	2.1789	2.1246	1.4164	1.4079
YDR065W	0.1921			0.1628		0.1910	0.1273	0.1397
YDR066C	1.2168	27	0.0312		0.0387			
YDR067C	1.2168	26	0.0324	0.0732	0.0399	0.0859	0.0573	0.0386
YDR068W	1.6651	10	0.1154	0.1293	0.1256	0.1516	0.1011	0.0942
YDR069C	0.3843			0.0576		0.0676	0.0451	0.1252
YDR070C	1.2489							
YDR071C	12.8088	14	0.6342	0.1370	0.7127	0.1607	0.1071	0.0616
YDR072C	3.5224	29	0.0842	0.2119	0.1058	0.2486	0.1657	0.2624
YDR073W	2.4337			0.2718		0.3188	0.2125	0.1082
YDR074W	3.1702			0.1154		0.1354	0.0902	0.2428
YDR075W	0.7685	17	0.0313	0.0559	0.0360	0.0655	0.0437	0.0405
YDR076W	0.1281			0.0668		0.0784	0.0522	0.0637
YDR077W	84.7303	89	0.6599	0.5787	1.1796	0.6789	0.4526	0.4598
YDR078C	0.8326	32	0.0180	0.0705	0.0231	0.0827	0.0551	0.0370
YDR079C-A	2.9781							
YDR079W	2.2095	28	0.0547	0.1117	0.0683	0.1310	0.0874	0.0293
YDR080W	1.6651	26	0.0444		0.0546			
YDR081C	1.0247	21	0.0338	0.0899	0.0401	0.1055	0.0703	0.1954
YDR082W	0.6084	25	0.0169	0.0547	0.0206	0.0642	0.0428	0.0635
YDR083W	2.3056			0.1634		0.1917	0.1278	0.1506
YDR084C	2.3696	17	0.0966	0.0392	0.1112	0.0459	0.0306	0.0183
YDR085C	1.6651	42	0.0275	0.0460	0.0377	0.0540	0.0360	0.0670
YDR086C	48.5454	12	2.8041	0.1587	3.1019	0.1862	0.1241	0.0300
YDR087C	1.7932	11	0.1130	0.1792	0.1240	0.2102	0.1401	0.1171
YDR088C	1.3769			0.1563		0.1834	0.1222	0.1403
YDR089W	1.1528			0.0491		0.0576	0.0384	0.1002
YDR090C	1.3129	16	0.0569	0.0774	0.0649	0.0907	0.0605	0.0564
YDR091C	2.1775	10	0.1509	0.1511	0.1643	0.1772	0.1182	0.2158
YDR092W	5.6679	19	0.2068	0.2381	0.2415	0.2794	0.1862	0.1358
YDR093W		23		0.0665		0.0780	0.0520	0.2516
YDR094W		14		0.1710		0.2006	0.1337	0.0448
YDR095C		44						
YDR096W	0.8006	17	0.0326	0.0559	0.0376	0.0656	0.0437	0.1173
YDR097C	1.1848			0.0772		0.0906	0.0604	0.2251
YDR098C	7.6533	15	0.3537	0.0704	0.4006	0.0826	0.0551	0.0472
YDR099W	11.2718	20	0.3906	0.0990	0.4598	0.1161	0.0774	0.0636
YDR100W	4.5792	10	0.3174	0.0645	0.3455	0.0756	0.0504	0.0217
YDR101C	2.5297	10	0.1753	0.1545	0.1909	0.1812	0.1208	0.2152
YDR102C	0.0640	31	0.0014		0.0018			
YDR103W		14						
YDR104C		19		0.0440		0.0516	0.0344	0.1285
YDR105C	1.3769	12	0.0795	0.0617	0.0880	0.0724	0.0483	0.0686
YDR106W	0.0640	21	0.0021	0.0446	0.0025	0.0523	0.0349	0.0298
YDR107C	0.2242			0.0358		0.0419	0.0280	0.0564
YDR108W	0.3202	24	0.0092	0.0512	0.0112	0.0601	0.0400	0.0839
YDR109C	0.2562							
YDR110W	0.1921	19	0.0070	0.1444	0.0082	0.1694	0.1130	0.1920
YDR111C	1.1208			0.0742		0.0870	0.0580	0.0883
YDR112W				0.0670		0.0786	0.0524	0.0161
YDR113C	0.6084			0.1188		0.1393	0.0929	0.1041
YDR114C	0.1921	20	0.0067		0.0078			
YDR115W	2.6258	20	0.0910	0.1506	0.1071	0.1767	0.1178	0.0373
YDR116C	2.2736	13	0.1212	0.1155	0.1352	0.1356	0.0904	0.0774
YDR117C	1.0247	17	0.0418	0.0537	0.0481	0.0630	0.0420	0.0713
YDR118W		31		0.0681		0.0799	0.0533	0.1043
YDR118W-A								
YDR119W	2.2415	11	0.1412	0.1257	0.1550	0.1475	0.0983	0.2268
YDR119W-A	0.7045							
YDR120C	1.7292	8	0.1498	0.1077	0.1604	0.1263	0.0842	0.1442
YDR121W	1.3449	8	0.1165	0.1188	0.1248	0.1394	0.0929	0.0548
YDR122W	1.6011	21	0.0528	0.0790	0.0627	0.0927	0.0618	0.1974
YDR123C	0.2882							
YDR124W	0.4163	25	0.0115	0.0368	0.0141	0.0431	0.0288	0.0280
YDR125C	0.4483			0.0389		0.0456	0.0304	0.0414
YDR126W	0.2242	26	0.0060	0.1474	0.0074	0.1729	0.1153	0.1164
YDR127W	2.6258	37	0.0492	0.1070	0.0653	0.1255	0.0837	0.3989
YDR128W	0.9607			0.1052		0.1234	0.0822	0.2834
YDR129C	14.9543	62	0.1672	0.1869	0.2589	0.2192	0.1462	0.2980
YDR130C	0.7365	17	0.0300	0.0886	0.0345	0.1039	0.0693	0.0606
YDR131C	0.8006	18	0.0308	0.0226	0.0357	0.0265	0.0177	0.0295
YDR132C	0.6404	32	0.0139	0.0943	0.0178	0.1107	0.0738	0.1097
YDR133C	26.5463			0.3570		0.4188	0.2792	0.0935
YDR135C	5.7960	34	0.1182		0.1537			
YDR136C	0.0640	40	0.0011		0.0015			
YDR137W	3.2342	22	0.1019	0.0772	0.1217	0.0906	0.0604	0.1202
YDR138W	0.9286							
YDR139C	3.7786	37	0.0708		0.0940			
YDR140W		18		0.0915		0.1073	0.0715	0.0476
YDR141C		29						
YDR142C	0.5764	26	0.0154	0.1348	0.0189	0.1581	0.1054	0.1188
YDR143C	0.2882	15	0.0133	0.1683	0.0151	0.1974	0.1316	0.2411
YDR144C	0.6404			0.0849		0.0995	0.0664	0.1188
YDR145W	1.5050	11	0.0948	0.2714	0.1041	0.3184	0.2123	0.3437
YDR146C	0.6404	8	0.0555	0.0736	0.0594	0.0863	0.0575	0.1225
YDR147W	1.1528							
YDR148C	4.4511	30	0.1028	0.0795	0.1301	0.0933	0.0622	0.0865
YDR149C		22		0.0590		0.0693	0.0462	0.0326
YDR150W	1.6972			0.1140		0.1338	0.0892	0.7355
YDR151C	6.4685	14	0.3203	0.1994	0.3599	0.2339	0.1560	0.1524
YDR152W	2.2095			0.2637		0.3094	0.2063	0.1644
YDR153C	0.9607			0.2791		0.3274	0.2183	0.2696
YDR154C	313.4958	30	7.2433	0.3827	9.1663	0.4489	0.2993	0.1048
YDR155C		34		0.1888		0.2215	0.1477	0.0721
YDR156W		6		0.4303		0.5048	0.3365	0.1390
YDR157W				0.1656		0.1942	0.1295	0.0519
YDR158W	15.2745			0.2905		0.3408	0.2272	0.2492
YDR159W	1.3769							
YDR160W	0.4803			0.0485		0.0569	0.0379	0.0970
YDR161W	2.8500			0.2274		0.2667	0.1778	0.2068
YDR162C	2.0494			0.0695		0.0815	0.0543	0.0386
YDR163W		21		0.1038		0.1217	0.0811	0.0428
YDR164C		28		0.0579		0.0679	0.0453	0.0984
YDR165W	2.5618							
YDR166C	0.4483	42	0.0074	0.0660	0.0101	0.0774	0.0516	0.1504
YDR167W	1.9213	9	0.1480	0.1345	0.1598	0.1578	0.1052	0.0652
YDR168W	4.4190	64	0.0479	0.1526	0.0750	0.1790	0.1193	0.1814
YDR169C	0.7365	22	0.0232	0.1403	0.0277	0.1646	0.1098	0.1691
YDR169C-A	0.0640							
YDR170C	4.3550	29	0.1041	0.1113	0.1308	0.1305	0.0870	0.5247
YDR171W	17.0678							
YDR172W	3.9067	12	0.2257	0.3756	0.2496	0.4406	0.2938	0.6043
YDR173C	0.5764	30	0.0133	0.1938	0.0169	0.2273	0.1515	0.1617
YDR174W	15.2425	16	0.6603	0.3385	0.7538	0.3971	0.2647	0.1959
YDR175C	2.3376	8	0.2025	0.1478	0.2169	0.1734	0.1156	0.1108
YDR176W	1.2168	17	0.0496	0.1659	0.0571	0.1946	0.1298	0.2735
YDR177W	13.9936	19	0.5105	0.0930	0.5963	0.1091	0.0728	0.0471
YDR178W	7.8454	33	0.1648	0.0354	0.2129	0.0415	0.0277	0.0151
YDR179C	1.1528	28	0.0285	0.0325	0.0356	0.0382	0.0254	0.0124
YDR179W-A	0.7045	14	0.0349		0.0392			
YDR180W	2.0174	22	0.0636		0.0759			
YDR181C	1.0887	12	0.0629	0.0814	0.0696	0.0954	0.0636	0.0919
YDR182W		19		0.1346		0.1579	0.1052	0.1552
YDR182W-A								
YDR183C-A	1.2168							
YDR183W	1.3769	21	0.0454	0.0801	0.0539	0.0939	0.0626	0.0433
YDR184C								
YDR185C	1.2168	28	0.0301	0.1637	0.0376	0.1920	0.1280	0.0690
YDR186C	1.0247							
YDR187C	0.0640	11	0.0040	0.5513	0.0044	0.6468	0.4312	0.2234
YDR188W	5.3157	8	0.4606	0.3744	0.4932	0.4393	0.2928	0.4803
YDR189W	1.9213	13	0.1024	0.1007	0.1142	0.1182	0.0788	0.1576
YDR190C	9.5426	12	0.5512	0.2559	0.6097	0.3003	0.2002	0.2784
YDR191W	0.3843			0.0657		0.0771	0.0514	0.0572
YDR192C	0.6084	21	0.0201	0.1183	0.0238	0.1388	0.0925	0.1196
YDR193W				0.0721		0.0846	0.0564	0.0225
YDR194C	4.1308	9	0.3181	0.1685	0.3435	0.1977	0.1318	0.2628
YDR194W-A	0.0640							
YDR195W		18						
YDR196C				0.1366		0.1602	0.1068	0.0775
YDR197W	0.8646			0.0848		0.0995	0.0663	0.0776
YDR198C	0.9927			0.0622		0.0730	0.0487	0.0700
YDR199W								
YDR200C				0.0583		0.0684	0.0456	0.0827
YDR201W				0.0613		0.0719	0.0479	0.0238
YDR202C		37		0.1578		0.1851	0.1234	0.1302
YDR203W		31		0.0753		0.0883	0.0589	0.0187
YDR204W	1.5691	70	0.0155	0.1778	0.0252	0.2086	0.1391	0.1400
YDR205W	0.3202	17	0.0131		0.0150			
YDR206W	0.7045	15	0.0326	0.0812	0.0369	0.0952	0.0635	0.1685
YDR207C	0.9927	17	0.0405	0.0764	0.0466	0.0896	0.0598	0.1500
YDR208W	1.0887			0.1640		0.1924	0.1283	0.3001
YDR209C		25		0.2282		0.2678	0.1785	0.0737
YDR210W		30		0.3946		0.4629	0.3086	0.0701
YDR211W	1.2489	11	0.0787	0.1723	0.0864	0.2021	0.1347	0.2881
YDR212W	3.9387			0.1300		0.1525	0.1017	0.1707
YDR213W	0.8966							
YDR214W	3.2662	116	0.0195	0.4399	0.0396	0.5161	0.3441	0.3619
YDR215C	0.0640	79	0.0006		0.0010			
YDR216W	0.6725	47	0.0099	0.0292	0.0140	0.0342	0.0228	0.0906
YDR217C	1.8253	15	0.0843	0.0611	0.0955	0.0717	0.0478	0.1877
YDR218C	0.1281			0.0145		0.0170	0.0114	0.0144
YDR219C	1.0567							
YDR220C	0.4483							
YDR221W	0.5124	16	0.0222	0.1009	0.0253	0.1184	0.0789	0.1664
YDR222W	1.3449	29	0.0321	0.0517	0.0404	0.0607	0.0405	0.0505
YDR223W	0.3202			0.0451		0.0529	0.0353	0.0495
YDR224C	34.8080	7	3.4467	0.7909	3.6602	0.9279	0.6186	0.2443
YDR225W	31.0934	6	3.5921	0.9360	3.7828	1.0980	0.7320	0.2913
YDR226W	27.7311	27	0.7119	0.3079	0.8820	0.3612	0.2408	0.1608
YDR227W	0.9286	18	0.0358	0.0909	0.0415	0.1066	0.0711	0.2897
YDR228C	0.7045	15	0.0326		0.0369			
YDR229W		10		0.1554		0.1823	0.1215	0.1654
YDR230W		32		0.0608		0.0713	0.0475	0.0165
YDR231C		12		0.0499		0.0585	0.0390	0.0241
YDR232W	1.4090	10	0.0977	0.2766	0.1063	0.3245	0.2163	0.3561
YDR233C	7.6212	10	0.5283	0.2426	0.5750	0.2846	0.1897	0.1683
YDR234W	0.8326	12	0.0481	0.1158	0.0532	0.1359	0.0906	0.1885
YDR235W		33						
YDR236C		23		0.0569		0.0667	0.0445	0.0292
YDR237W	2.1135	19	0.0771	0.0705	0.0901	0.0827	0.0552	0.0484
YDR238C	5.4117	38	0.0987		0.1319			
YDR239C	0.6084	20	0.0211		0.0248			
YDR240C	2.0174	30	0.0466		0.0590			
YDR241W	4.1949							
YDR242W		25		0.1028		0.1205	0.0804	0.1325
YDR243C				0.0833		0.0977	0.0651	0.1150
YDR244W	0.0640	37	0.0012		0.0016			
YDR245W	2.3056	14	0.1142		0.1283			
YDR246W	0.6404	19	0.0234		0.0273			
YDR246W-A	0.1281							
YDR247W	0.7685	50	0.0107		0.0154			
YDR248C	5.0915	31	0.1138	0.1017	0.1451	0.1193	0.0795	0.0462
YDR249C	0.2562			0.1041		0.1221	0.0814	0.0912
YDR250C	0.0640							
YDR251W	1.1208	10	0.0777	0.1079	0.0846	0.1266	0.0844	0.2103
YDR252W	0.5124	38	0.0093		0.0125			
YDR253C	2.6899	12	0.1554	0.0727	0.1719	0.0853	0.0568	0.0327
YDR254W				0.0611		0.0717	0.0478	0.0657
YDR255C		42		0.0597		0.0700	0.0467	0.0590
YDR256C	0.0640			0.0803		0.0942	0.0628	0.0972
YDR257C	1.1208	94	0.0083	0.1652	0.0151	0.1939	0.1292	0.1918
YDR258C	13.8976							
YDR259C	0.5124							
YDR260C	0.4483	33	0.0094	0.1487	0.0122	0.1744	0.1163	0.0595
YDR261C	1.5050	22	0.0474	0.1115	0.0567	0.1308	0.0872	0.1472
YDR262W	1.2809	31	0.0286	0.0939	0.0365	0.1101	0.0734	0.0601
YDR263C	0.4483							
YDR264C	3.3303	16	0.1443	0.3025	0.1647	0.3548	0.2365	0.5426
YDR265W	0.9286	26	0.0248	0.1589	0.0305	0.1865	0.1243	0.1259
YDR266C	1.4410	20	0.0499	0.1048	0.0588	0.1230	0.0820	0.1573
YDR267C	1.8253	8	0.1581	0.1696	0.1693	0.1989	0.1326	0.1315
YDR268W	0.6084	13	0.0324	0.1073	0.0362	0.1259	0.0839	0.0956
YDR269C		31						
YDR270W		15						
YDR271C		23		0.1310		0.1537	0.1025	0.0380
YDR272W	3.9067	21	0.1289	0.1089	0.1529	0.1278	0.0852	0.0702
YDR273W	0.3522	90	0.0027	0.0749	0.0049	0.0879	0.0586	0.0643
YDR274C	0.1281			0.4467		0.5240	0.3493	0.1296
YDR275W	0.5764			0.3076		0.3608	0.2405	0.1701
YDR276C	49.6982	13	2.6499		2.9547			
YDR277C	0.4163	41	0.0070	0.1909	0.0096	0.2239	0.1493	0.1942
YDR278C	0.0640							
YDR279W	1.6011			0.1265		0.1484	0.0989	0.1041
YDR280W	1.7292			0.1606		0.1884	0.1256	0.1152
YDR281C	0.8326			0.1517		0.1780	0.1187	0.0373
YDR282C	0.3202	31	0.0072	0.0332	0.0091	0.0390	0.0260	0.0323
YDR283C	0.5124							
YDR284C	5.0595	26	0.1349	0.0810	0.1659	0.0950	0.0634	0.0551
YDR285W	0.3843							
YDR286C	1.4730							
YDR287W	0.3202			0.0319		0.0374	0.0250	0.0219
YDR288W	2.2415	14	0.1110	0.1334	0.1247	0.1565	0.1044	0.0951
YDR289C	2.4977	10	0.1731	0.1507	0.1884	0.1768	0.1179	0.1449
YDR290W								
YDR291W	0.7045	19	0.0257		0.0300			
YDR292C	6.5965	11	0.4157	0.1303	0.4561	0.1528	0.1019	0.1900
YDR293C	3.2022	21	0.1057	0.1605	0.1253	0.1883	0.1255	0.4710
YDR294C	2.5938	29	0.0620	0.2422	0.0779	0.2842	0.1894	0.3351
YDR295C	0.5124			0.0789		0.0925	0.0617	0.1249
YDR296W	2.2415							
YDR297W	3.2022	8	0.2774	0.3251	0.2971	0.3814	0.2543	0.2667
YDR298C	5.2516	13	0.2800		0.3122			
YDR299W	1.3449	7	0.1332	0.2739	0.1414	0.3213	0.2142	0.3436
YDR300C	0.9286	12	0.0536		0.0593			
YDR301W	0.9927			0.0736		0.0863	0.0575	0.2344
YDR302W	0.7685	16	0.0333	0.0265	0.0380	0.0310	0.0207	0.0136
YDR303C	0.5764	15	0.0266	0.0453	0.0302	0.0532	0.0354	0.0942
YDR304C	11.1757	34	0.2278	0.1094	0.2964	0.1284	0.0856	0.0579
YDR305C	2.5938			0.0972		0.1140	0.0760	0.0564
YDR306C	0.8006			0.0526		0.0617	0.0411	0.0591
YDR307W	1.4410			0.0469		0.0550	0.0367	0.0729
YDR308C	1.8253	15	0.0843	0.0736	0.0955	0.0863	0.0576	0.0243
YDR309C	3.3943	10	0.2353	0.1437	0.2561	0.1686	0.1124	0.1293
YDR310C	1.4730							
YDR311W	2.1455			0.1283		0.1505	0.1003	0.1935
YDR312W	2.0814	10	0.1443	0.1130	0.1570	0.1325	0.0883	0.1202
YDR313C	0.7685	26	0.0205	0.0975	0.0252	0.1144	0.0763	0.0656
YDR314C	0.3843			0.0731		0.0857	0.0571	0.1187
YDR315C	0.4483	31	0.0100	0.0340	0.0128	0.0398	0.0266	0.0224
YDR316W	0.5444	20	0.0189	0.1429	0.0222	0.1676	0.1118	0.1581
YDR317W	0.1601			0.0275		0.0323	0.0215	0.0267
YDR318W				0.0572		0.0671	0.0447	0.0532
YDR319C		44		0.1038		0.1217	0.0812	0.0669
YDR320C	0.8326			0.0756		0.0886	0.0591	0.1185
YDR320C-A	5.2836			0.2257		0.2648	0.1765	0.0385
YDR320W-B								
YDR321W	4.8994	21	0.1617	0.1190	0.1918	0.1396	0.0931	0.1066
YDR322C-A	2.3376							
YDR322W	1.5371			0.1471		0.1726	0.1151	0.1269
YDR323C	0.2562			0.0432		0.0506	0.0338	0.0522
YDR324C	2.6578			0.2064		0.2421	0.1614	0.3761
YDR325W	0.2562			0.0863		0.1012	0.0675	0.2097
YDR326C	0.0961			0.1583		0.1857	0.1238	0.5345
YDR327W				0.0864		0.1013	0.0675	0.0220
YDR328C		29		0.1672		0.1961	0.1308	0.0764
YDR329C	1.9213			0.0526		0.0617	0.0412	0.0545
YDR330W	1.6651			0.0700		0.0821	0.0547	0.0822
YDR331W	1.1528			0.0548		0.0643	0.0428	0.0529
YDR332W	1.3769			0.0546		0.0641	0.0427	0.0884
YDR333C	2.2095			0.0874		0.1025	0.0684	0.1484
YDR334W	0.7045			0.1807		0.2119	0.1413	0.6420
YDR335W	4.4190			0.1657		0.1944	0.1296	0.4762
YDR336W	0.9607			0.0767		0.0900	0.0600	0.0566
YDR337W	1.4090	13	0.0751	0.1773	0.0838	0.2080	0.1387	0.1192
YDR338C	0.2242			0.0570		0.0668	0.0445	0.0930
YDR339C	3.2022			0.1262		0.1481	0.0987	0.0562
YDR340W								
YDR341C	5.8600	29	0.1401	0.2624	0.1760	0.3079	0.2052	0.3741
YDR342C		59		0.0413		0.0485	0.0323	0.0553
YDR343C		56						
YDR344C	0.0640	24	0.0018	0.0696	0.0022	0.0817	0.0545	0.0241
YDR345C	14.7301	25	0.4084	0.2630	0.4988	0.3085	0.2057	0.3503
YDR346C	5.5078	8	0.4772	0.2245	0.5110	0.2634	0.1756	0.2537
YDR347W	3.2022	14	0.1585	0.1027	0.1782	0.1204	0.0803	0.0775
YDR348C	2.5938			0.2205		0.2586	0.1724	0.2585
YDR349C	4.2589			0.1101		0.1291	0.0861	0.1541
YDR350C	0.7045			0.0828		0.0971	0.0647	0.1188
YDR351W	1.2168			0.1177		0.1381	0.0921	0.2389
YDR352W	0.6084			0.2007		0.2355	0.1570	0.1496
YDR353W	16.5554	15	0.7650	0.2392	0.8666	0.2806	0.1870	0.1794
YDR354C-A								
YDR354W	2.8500	9	0.2195	0.0870	0.2370	0.1021	0.0680	0.0777
YDR355C								
YDR356W	0.4803	15	0.0222		0.0251			
YDR357C	3.9387							
YDR358W	0.5124	88	0.0040	0.1024	0.0072	0.1201	0.0801	0.1340
YDR359C	0.4803	12	0.0277	0.1070	0.0307	0.1256	0.0837	0.2468
YDR360W				0.0646		0.0758	0.0505	0.0195
YDR361C	1.7612	8	0.1526	0.1180	0.1634	0.1385	0.0923	0.0786
YDR362C	1.0247			0.0787		0.0923	0.0616	0.1242
YDR363W	0.6084							
YDR363W-A	7.1409							
YDR364C	0.4803							
YDR365C	11.5600	9	0.8903		0.9612			
YDR366C		56		0.0191		0.0224	0.0149	0.0059
YDR367W	4.7393	23	0.1428	0.0354	0.1719	0.0415	0.0277	0.0212
YDR368W	2.1135	44	0.0333		0.0463			
YDR369C	0.8326			0.0361		0.0424	0.0283	0.0725
YDR370C	2.3376							
YDR371C-A								
YDR371W	3.4904	23	0.1052	0.0756	0.1266	0.0887	0.0592	0.0908
YDR372C	7.1729			0.1918		0.2250	0.1500	0.1556
YDR373W	4.1949	22	0.1322	0.1177	0.1579	0.1380	0.0920	0.0526
YDR374C	0.2562							
YDR374W-A	1.8253							
YDR375C	1.3769			0.0713		0.0836	0.0558	0.0764
YDR376W	0.8646							
YDR377W	4.8353	17	0.1972		0.2268			
YDR378C	8.7420			0.1521		0.1784	0.1189	0.0309
YDR379C-A								
YDR379W		20						
YDR380W	0.3843							
YDR381C-A	2.1455			0.0923		0.1083	0.0722	0.0388
YDR381W	6.8847							
YDR382W	72.4339	24	2.0920	0.9583	2.5363	1.1242	0.7495	0.2488
YDR383C	4.6752			0.0943		0.1106	0.0737	0.0528
YDR384C	1.7932	21	0.0592	0.0638	0.0702	0.0748	0.0499	0.0412
YDR385W		34		0.2555		0.2997	0.1998	0.5051
YDR386W	0.8326			0.0576		0.0676	0.0451	0.0855
YDR387C	1.0887	28	0.0270	0.0584	0.0336	0.0685	0.0456	0.0761
YDR388W	5.9881	51	0.0814	0.1794	0.1181	0.2104	0.1403	0.2031
YDR389W	0.7045			0.1318		0.1547	0.1031	0.2025
YDR390C	4.8994	10	0.3396	0.0774	0.3697	0.0909	0.0606	0.1157
YDR391C	2.1775			0.1442		0.1692	0.1128	0.0787
YDR392W	1.3449			0.1901		0.2230	0.1487	0.1506
YDR393W	1.1848	14	0.0587		0.0659			
YDR394W	6.9488	14	0.3440	0.2002	0.3867	0.2349	0.1566	0.2014
YDR395W	2.8179	25	0.0781	0.1567	0.0954	0.1838	0.1226	0.3473
YDR396W				0.3012		0.3534	0.2356	0.1178
YDR397C				0.5888		0.6908	0.4605	0.2450
YDR398W	2.3696	8	0.2053	0.2537	0.2198	0.2976	0.1984	0.3831
YDR399W	9.9589			0.3622		0.4250	0.2833	0.1884
YDR400W	1.1208			0.1129		0.1325	0.0883	0.0903
YDR401W		95		0.0178		0.0209	0.0139	0.0078
YDR402C								
YDR403W	0.1921	54	0.0025		0.0036			
YDR404C	3.7466	11	0.2361		0.2591			
YDR405W	1.6972			0.0879		0.1031	0.0687	0.0544
YDR406W		37		0.0352		0.0413	0.0275	0.1263
YDR406W-A								
YDR407C		15		0.0395		0.0463	0.0309	0.1195
YDR408C	3.9707	12	0.2294	0.2089	0.2537	0.2451	0.1634	0.1052
YDR409W	0.5124	32	0.0111	0.0662	0.0142	0.0777	0.0518	0.1405
YDR410C	2.0494			0.0931		0.1092	0.0728	0.0524
YDR411C	1.4730	16	0.0638	0.2604	0.0728	0.3055	0.2037	0.2088
YDR412W				0.1468		0.1722	0.1148	0.0812
YDR413C		7		0.0735		0.0862	0.0575	0.0330
YDR414C	2.1135			0.0763		0.0895	0.0597	0.0649
YDR415C	0.7045	14	0.0349	0.2052	0.0392	0.2407	0.1605	0.1804
YDR416W	1.6011			0.1243		0.1459	0.0972	0.2508
YDR417C		26		0.4448		0.5218	0.3479	0.1291
